uid;error_id;start_vid;end_vid;error_val;type;level;geom
1167890-188190;626;1167890;188190;100;Error;5;0104000020E61000000200000001010000000C1F115322AB62408DBFA37CF7AD41C001010000009A6DB8D929AC62403E0B9D3292AB41C0
1169722-481742;;1169722;481742;0;No error;5;0104000020E6100000020000000101000000E97129F837F762400F74FE37405640C0010100000004BC163E6CF76240DD932CCCE75440C0
1170631-1180409;;1170631;1180409;0;No error;5;0104000020E61000000200000001010000008ACE8D44C3BC624048C153C8957C3EC0010100000033FAD170CABC62403F0E9425847C3EC0
1171144-147296;;1171144;147296;0;No error;5;0104000020E61000000200000001010000007924B95781936240A23891AA373642C00101000000B686527B91936240A36021CE1E3642C0
1174431-147296;;1174431;147296;0;No error;5;0104000020E610000002000000010100000083B3A5587F9362404B61399DBF3642C00101000000B686527B91936240A36021CE1E3642C0
1177263-1850563;;1177263;1850563;0;No error;5;0104000020E6100000020000000101000000E08BE54C09076340D021156B5DEF3CC0010100000041E378F4F502634065EE10B523173DC0
1177607-813973;;1177607;813973;0;No error;5;0104000020E6100000020000000101000000D29F47D6ABDD62408DC756E1E0083FC001010000005BA6704EB6DD624052E630A9EB083FC0
1207613-1237739;792;1207613;1237739;70;Near error;5;0104000020E61000000200000001010000007722D2808BE362402E9512DD0EF340C001010000008B13043476E3624051267F411CF340C0
1178857-842503;;1178857;842503;0;No error;5;0104000020E6100000020000000101000000765C435FF0CD6240E40FABE408503EC00101000000D3AA4CE779C56240CE44227E0F483EC0
1179287-1256345;;1179287;1256345;0;No error;5;0104000020E610000002000000010100000026474B2F3BBB62400B53A5773B6C3EC0010100000065D707A323BB62406A8BC635996C3EC0
1180409-1170631;;1180409;1170631;0;No error;5;0104000020E610000002000000010100000033FAD170CABC62403F0E9425847C3EC001010000008ACE8D44C3BC624048C153C8957C3EC0
1181240-2266552;791;1181240;2266552;100;Error;5;0104000020E61000000200000001010000006C263A26661F63402B8AB2124EE83CC00101000000E7CAFB93931F6340700C5C7924E33CC0
1182292-908510;;1182292;908510;0;No error;5;0104000020E610000002000000010100000013D6C6D849C162407D7C9D2F514140C0010100000058A9A0A22ABD6240FE66BD73833D40C0
1184443-1146768;787;1184443;1146768;100;Error;5;0104000020E6100000020000000101000000A27BD635DAE86240695721E5279540C00101000000FA754C82DCE8624026FDBD141E9540C0
1184547-2119255;;1184547;2119255;0;No error;5;0104000020E610000002000000010100000075B80CEEBDF86240B806B64AB0923DC001010000003B32FBE14CF76240600E7162FE983DC0
1186187-1192649;790;1186187;1192649;100;Error;5;0104000020E61000000200000001010000006F8C536338E562401AAE69392BE93EC001010000009ED733DFDCE462408223DCBF0DE63EC0
1208302-1621200;;1208302;1621200;0;No error;5;0104000020E610000002000000010100000092031B7CC6AA62403C5B519495143FC00101000000C46D7E0DD2A662404D28E906AF123FC0
1186696-1218377;;1186696;1218377;0;No error;5;0104000020E6100000020000000101000000C60F3A8D19E46240691CEA7761EB40C00101000000FCDDE0B019E462400D36751E15EC40C0
1519100-447000;;1519100;447000;0;No error;4;0104000020E6100000020000000101000000AAB46A7CCB0562409296CADB11BA40C001010000002D584F52C50662408BFB8F4C87AE40C0
1192398-1297716;;1192398;1297716;0;No error;5;0104000020E6100000020000000101000000D04C8B55DEE362407AD4A93CCBED40C00101000000DC0022B329E46240C119FCFD62ED40C0
1193158-1462590;;1193158;1462590;0;No error;5;0104000020E610000002000000010100000079138DFF4CFE6240AC6928FFA43840C00101000000CD3747C2E3FA62403F79B361A83B40C0
1193517-481742;678;1193517;481742;70;Near error;5;0104000020E61000000200000001010000001019A07E61F7624004A9B981A75440C0010100000004BC163E6CF76240DD932CCCE75440C0
1194678-1779001;;1194678;1779001;0;No error;5;0104000020E61000000200000001010000006B2C616D0CC3624063748A9F10AF40C0010100000073631F09E0C26240680014C891AE40C0
1195414-1707593;;1195414;1707593;0;No error;5;0104000020E61000000200000001010000002FC44549A39562405496D7005BE641C001010000002700B507109A62408B08B5954DE241C0
1204145-25223;;1204145;25223;0;No error;5;0104000020E61000000200000001010000000630C099B3E36240205F420587EA40C00101000000184740E09CE36240AADAC93BE2EC40C0
1206572-702438;;1206572;702438;0;No error;5;0104000020E61000000200000001010000008E661B6E36F56240EA2FAAFBB6563EC00101000000F42A7CC73AF562402EB3637EC9553EC0
1214377-2137538;;1214377;2137538;0;No error;5;0104000020E6100000020000000101000000C58ABF92D0E06240A92D1AD764B540C00101000000AB251DE520E162409D2F5118EFB540C0
1214512-1342625;;1214512;1342625;0;No error;5;0104000020E610000002000000010100000080773C774C31634021D8A7D2054F3CC00101000000A56B26DF2C316340B9C5FCDCD0543CC0
1218377-1186696;;1218377;1186696;0;No error;5;0104000020E6100000020000000101000000FCDDE0B019E462400D36751E15EC40C00101000000C60F3A8D19E46240691CEA7761EB40C0
1218655-1112109;781;1218655;1112109;100;Error;5;0104000020E61000000200000001010000003DDF0500BD20634070E18AD5307D3CC00101000000085740A19E1F6340F107A8154B783CC0
1284217-1292129;806;1284217;1292129;100;Error;5;0104000020E610000002000000010100000089E1348EA2416240512FF834271B41C00101000000D7F445E7A141624082D8E3CF011B41C0
1220983-1170160;;1220983;1170160;0;No error;5;0104000020E61000000200000001010000001C959BA8A51A6340728A8EE4F2033FC0010100000092578C5F1D1B6340482CCEBD2C023FC0
1232354-2003862;;1232354;2003862;0;No error;5;0104000020E610000002000000010100000032715067D3B562400DD87A2BB7A742C00101000000AD3594DA4BB562402DDED9684AA242C0
1562764-1964529;;1562764;1964529;0;No error;4;0104000020E6100000020000000101000000779BDC941753624067E8E96D7DDF41C0010100000050BA3EBDE351624012537D42D1DE41C0
1235444-46951;;1235444;46951;0;No error;5;0104000020E6100000020000000101000000FD2E6CCDD6D5624038222933EF5A41C0010100000008663B95C2D66240A99B30067B5541C0
1238733-1112109;;1238733;1112109;0;No error;5;0104000020E61000000200000001010000006F5FAC14A72063406D95BB2AAB7E3CC00101000000085740A19E1F6340F107A8154B783CC0
1240815-1919708;793;1240815;1919708;100;Error;5;0104000020E6100000020000000101000000BDFDB96808BA6240289CDD5A26AA42C0010100000089A0C5ADDDB96240D18778358AAA42C0
1246241-1175919;794;1246241;1175919;100;Error;5;0104000020E610000002000000010100000059AD026BCB5B6240BBC09B244CF93DC001010000002F922C16B55B6240A1FE0EA03AF93DC0
1246858-1688535;795;1246858;1688535;70;Near error;5;0104000020E610000002000000010100000001E77BFC14946240E251CF2797F841C001010000007BB2AC451594624043E158BCFDFB41C0
1247048-1829960;793;1247048;1829960;70;Near error;5;0104000020E610000002000000010100000037DB81DF2BBA6240C94741A66BAA42C001010000000EE5FA2DF0B96240B47F5479F1AA42C0
1249855-1646964;;1249855;1646964;0;No error;5;0104000020E61000000200000001010000001FBF12A3828A62408AA658DA4E3742C00101000000A62325E2128B624058440367DF3D42C0
1250329-2280610;;1250329;2280610;0;No error;5;0104000020E61000000200000001010000005012B7AFE8946240631E43119C3942C00101000000AD48F196D09662403534547BC73742C0
1256345-1179287;;1256345;1179287;0;No error;5;0104000020E610000002000000010100000065D707A323BB62406A8BC635996C3EC0010100000026474B2F3BBB62400B53A5773B6C3EC0
1250652-1611541;;1250652;1611541;0;No error;5;0104000020E6100000020000000101000000B398D87C5CF86240D80B056C071C40C001010000003539C65FE4F96240A975D146641B40C0
1252885-2019272;;1252885;2019272;0;No error;5;0104000020E6100000020000000101000000DEEA94A2F0E46240CAC342AD69BA40C001010000000FB33CB4B4E462403DAC81F79FBA40C0
1253340-1253453;634;1253340;1253453;100;Error;5;0104000020E6100000020000000101000000B142DB7B02E36240A922CB38FCF340C00101000000AF3D586B0DE362405B7C0A80F1F340C0
1253453-1253340;634;1253453;1253340;100;Error;5;0104000020E6100000020000000101000000AF3D586B0DE362405B7C0A80F1F340C00101000000B142DB7B02E36240A922CB38FCF340C0
1254958-488931;;1254958;488931;0;No error;5;0104000020E61000000200000001010000001C11E73C3EF462405D5F35E03D7F40C00101000000B8F1DD9CC0F362403912C3691C7E40C0
1255287-1855069;;1255287;1855069;0;No error;5;0104000020E6100000020000000101000000FA7B293CE880624064CDC820772B41C0010100000034F279C5D3806240C7C9B3812A2E41C0
1255523-1340118;;1255523;1340118;0;No error;5;0104000020E61000000200000001010000001541F740C6DC624025E2523AFDCD40C0010100000085A22F73F0DC6240BFFB993050CE40C0
1255551-1258644;;1255551;1258644;0;No error;5;0104000020E61000000200000001010000006D495865B0416240FC17AD48F1AC40C001010000001667B1B90F42624050502F9D7BAF40C0
1255720-366691;;1255720;366691;0;No error;5;0104000020E6100000020000000101000000D8ABD91419AF624010DC92663D3941C001010000002BBD361B2BAF6240727385D2723941C0
1256066-1256359;797;1256066;1256359;70;Near error;5;0104000020E610000002000000010100000056AB6521F0F5624028603B18B17240C0010100000003F51C47E2F56240236530EB6A7240C0
1256359-1256066;;1256359;1256066;0;No error;5;0104000020E610000002000000010100000003F51C47E2F56240236530EB6A7240C0010100000056AB6521F0F5624028603B18B17240C0
1261700-1261345;567;1261700;1261345;100;Error;5;0104000020E6100000020000000101000000CB1E57D9AD1463409A000D8002C93FC0010100000005D957C3AA1463406D382C0DFCC83FC0
1256971-673664;722;1256971;673664;100;Error;5;0104000020E6100000020000000101000000BB270F0B75916240AD40E378F40441C001010000000EAD0441B6916240C2082B5FE10441C0
1257453-1778201;798;1257453;1778201;100;Error;5;0104000020E61000000200000001010000001C4E4F0E15B76240F6DF394A14743EC001010000003AC4E4B2F6B76240D2B71677CD793EC0
1258320-1254047;;1258320;1254047;0;No error;5;0104000020E6100000020000000101000000FD9474DE10946240AF4D19EE12FD40C001010000004805042967936240B751538149F840C0
1258503-1412728;;1258503;1412728;0;No error;5;0104000020E6100000020000000101000000A1D22DE04AE36240C07630629FCE40C00101000000F9927CDB02E4624047832568DDCC40C0
1258618-1659318;;1258618;1659318;0;No error;5;0104000020E61000000200000001010000004453D1B3F4666240856C0F3114F541C0010100000047B5E3E1186862401D93C5FD47EB41C0
1258642-360897;;1258642;360897;0;No error;5;0104000020E6100000020000000101000000835F3475A8666240557C8D6ECEF440C0010100000048C0E8F2A6676240BFCD870C50F440C0
1258644-1258726;;1258644;1258726;0;No error;5;0104000020E61000000200000001010000001667B1B90F42624050502F9D7BAF40C0010100000042C1D6B67241624002F8020EFCAD40C0
1258726-1258644;;1258726;1258644;0;No error;5;0104000020E610000002000000010100000042C1D6B67241624002F8020EFCAD40C001010000001667B1B90F42624050502F9D7BAF40C0
1260844-647561;;1260844;647561;0;No error;5;0104000020E610000002000000010100000021EFB0E4C517634062F4DC42571E3EC00101000000386744696F1863405E0F26C5C7133EC0
1261112-1261345;567;1261112;1261345;100;Error;5;0104000020E61000000200000001010000009065660BAD146340D41BFF4F0FC93FC0010100000005D957C3AA1463406D382C0DFCC83FC0
1261150-714343;;1261150;714343;0;No error;5;0104000020E6100000020000000101000000436271EEE596624033BACD65B43841C001010000005E59B3DFA4966240CECDED14613841C0
1261345-1261700;567;1261345;1261700;100;Error;5;0104000020E610000002000000010100000005D957C3AA1463406D382C0DFCC83FC00101000000CB1E57D9AD1463409A000D8002C93FC0
1261492-1289321;799;1261492;1289321;100;Error;5;0104000020E6100000020000000101000000F2E0383AF8BF6240627F7E84065C41C0010100000089B2B794F3BF62401B779494055C41C0
1261519-687288;;1261519;687288;0;No error;5;0104000020E610000002000000010100000062C1583A3A85624014AD8152598E40C001010000007F1BBD7599856240106F42C6488E40C0
1268027-1259163;576;1268027;1259163;100;Error;5;0104000020E6100000020000000101000000FCA2A94393866240FE800706109540C0010100000005B28D2EA5866240F1C80EE0E39340C0
1274691-1298016;803;1274691;1298016;70;Near error;5;0104000020E61000000200000001010000007688241FA0416240126E8D637F2341C00101000000C8B1F50CA1416240AE444541952441C0
1261841-1133868;;1261841;1133868;0;No error;5;0104000020E6100000020000000101000000E494CA25DF4B6240F90F8EFE3CA740C001010000003B8A73D4D14B6240A1A3B0E65BA740C0
1262855-1271746;578;1262855;1271746;100;Error;5;0104000020E6100000020000000101000000B4006DAB598062404E6A1E76959E40C00101000000811255AE26806240A0B1E54B5EA340C0
1263060-613284;;1263060;613284;0;No error;5;0104000020E6100000020000000101000000BAFEB858EC9862403337DF88EEB741C00101000000E8AA2F016E9A624014DC59057BB841C0
1263306-1599293;800;1263306;1599293;100;Error;5;0104000020E61000000200000001010000001E62CD126E88624054556820962641C00101000000D7B26B316E886240DDFB6541722641C0
1263616-656555;;1263616;656555;0;No error;5;0104000020E61000000200000001010000001E6BEB4C46F162403D57A53EDA7140C00101000000FBCDC47461EF6240F8904B77327340C0
1264056-286063;;1264056;286063;0;No error;5;0104000020E6100000020000000101000000C2B755B589ED62404069A85148AA40C00101000000DC018D8898ED6240740179C086A940C0
1264372-1855069;;1264372;1855069;0;No error;5;0104000020E6100000020000000101000000C223E0C65C8162400E0AEF17582B41C0010100000034F279C5D3806240C7C9B3812A2E41C0
1264385-1267474;550;1264385;1267474;100;Error;5;0104000020E6100000020000000101000000EFFE78AF9A7F6240B4498FF007AC40C0010100000061206349947F62404A3A144F87AC40C0
1264886-603551;704;1264886;603551;100;Error;5;0104000020E6100000020000000101000000261C7A8B47846240A08D5C37A54B41C001010000004A6E5EE645846240D5CE30B5A54B41C0
1265668-1309285;;1265668;1309285;0;No error;5;0104000020E6100000020000000101000000B37680CC33DB6240CA501553E95641C00101000000AD4ECE501CDB6240983B8E7AE35641C0
1266100-714343;702;1266100;714343;70;Near error;5;0104000020E610000002000000010100000000DD3C7AE89662402705CC327A3841C001010000005E59B3DFA4966240CECDED14613841C0
1267474-1264385;550;1267474;1264385;100;Error;5;0104000020E610000002000000010100000061206349947F62404A3A144F87AC40C00101000000EFFE78AF9A7F6240B4498FF007AC40C0
1267745-1822139;;1267745;1822139;0;No error;5;0104000020E6100000020000000101000000F18DD772DDB862402DF41CECA8733EC001010000004369B97D20B862405E279AACF6793EC0
1268403-1615311;;1268403;1615311;0;No error;5;0104000020E6100000020000000101000000FACD69BBEEE462409EE85F3711F740C00101000000A310B7F9F5E46240C96BCABA24F740C0
1268897-1884376;;1268897;1884376;0;No error;5;0104000020E6100000020000000101000000924C3DC134E762406B8AB6195DB640C00101000000D174763238E76240438D429259B640C0
1268931-1688903;;1268931;1688903;0;No error;5;0104000020E61000000200000001010000002DDB3D2F8B6362405885178E310541C001010000006E23545F8C63624030D978B0C50741C0
1269189-517697;;1269189;517697;0;No error;5;0104000020E61000000200000001010000000FAECACF17BB6240BD8A8C0E48383EC001010000001785B8CDEFBB6240366156838B403EC0
1269723-2000714;801;1269723;2000714;70;Near error;5;0104000020E6100000020000000101000000337106DA38BD6240A84CD64DCE4F3DC001010000009FF47464DBBB6240FE03F6E2D5453DC0
1269859-1265672;;1269859;1265672;0;No error;5;0104000020E6100000020000000101000000C0F27BF6F7936240CA8EE8F92EB63FC0010100000089F667F544946240BFCB56A87FBA3FC0
1270509-1069931;771;1270509;1069931;100;Error;5;0104000020E6100000020000000101000000F262BC410F856240C793EEF8409040C001010000008645FB0EF48462405ACEEF45C58F40C0
1270832-71246;;1270832;71246;0;No error;5;0104000020E6100000020000000101000000186B6E3B63E36240A6400BAE5ED840C00101000000BDE0D39C7CE3624038FAF3C87AD840C0
1271746-1262855;578;1271746;1262855;100;Error;5;0104000020E6100000020000000101000000811255AE26806240A0B1E54B5EA340C00101000000B4006DAB598062404E6A1E76959E40C0
1271816-1261519;;1271816;1261519;0;No error;5;0104000020E61000000200000001010000004CFF9254668562402D115E71278D40C0010100000062C1583A3A85624014AD8152598E40C0
1288812-1302134;;1288812;1302134;0;No error;5;0104000020E6100000020000000101000000B7BEA321BE42624065F1ACEEA22141C00101000000AF53F6A7DE42624085590D2EC22041C0
1275518-1483928;;1275518;1483928;0;No error;5;0104000020E6100000020000000101000000BA0908F714ED624092C437B9848C40C0010100000082AED8BA2FEC6240773705E8AD8C40C0
1275987-1296050;506;1275987;1296050;70;Near error;5;0104000020E6100000020000000101000000E4F736FDD94062401371299DFE2241C001010000008EC9E2FEE340624039F5DC9D102341C0
1276113-1302324;;1276113;1302324;0;No error;5;0104000020E61000000200000001010000007B02171ABE41624070D86C9B981641C001010000000027CA94854162409BCF1495681741C0
1276370-821321;1003;1276370;821321;100;Error;5;0104000020E610000002000000010100000092DE814BD1B06240ABB8CC446C2D40C001010000005502188513B162404E20915B382D40C0
1276517-1304640;;1276517;1304640;0;No error;5;0104000020E610000002000000010100000047CDB282FAF662409154F0259EBD3DC00101000000DFFC868906F7624088372163A4BB3DC0
1277722-161595;;1277722;161595;0;No error;5;0104000020E610000002000000010100000028E1F890A6E362405BEA20AF07FD40C00101000000774D486BCCE36240AC8F87BEBBFC40C0
1278154-1304640;;1278154;1304640;0;No error;5;0104000020E610000002000000010100000068C81DDBD7F6624053DED8FD74BD3DC00101000000DFFC868906F7624088372163A4BB3DC0
1283963-659143;;1283963;659143;0;No error;5;0104000020E61000000200000001010000000146E1C4E1F662406CDA7BA7B87040C00101000000717D0EE2F9F66240B40584D6C37040C0
1278586-1116741;;1278586;1116741;0;No error;5;0104000020E6100000020000000101000000918C8B59E5D4624058569A9482E640C001010000003312465879C96240E5AAC31BE31241C0
1279123-1990598;;1279123;1990598;0;No error;5;0104000020E6100000020000000101000000DF7998AC405E62403507AD2C76FE41C0010100000000F26FE1CA5E62400AA826778EFD41C0
1280312-1289870;;1280312;1289870;0;No error;5;0104000020E6100000020000000101000000D6EDA29E74E362408C8752D6CAC73DC00101000000864DAE739DE36240C89E98501CC73DC0
1280432-1294869;;1280432;1294869;0;No error;5;0104000020E6100000020000000101000000858DFC0B0EF76240335EA91DB4BD3DC00101000000550F3DCE19F76240BE2EC37FBABB3DC0
1280584-1292705;;1280584;1292705;0;No error;5;0104000020E6100000020000000101000000F38C2210D4426240ABD6789F992541C00101000000CF1B823EEC4262400B6C8434192641C0
1282166-1290359;;1282166;1290359;0;No error;5;0104000020E6100000020000000101000000A2CCABDF31F76240A144F064DCBD3DC001010000008ABECCC13DF76240EB81A0EDE2BB3DC0
1282426-1886288;807;1282426;1886288;100;Error;5;0104000020E6100000020000000101000000E6F6DC53C37862400AAEA877A7BF3DC00101000000997A8269BD786240FD8DD19563BF3DC0
1283169-764366;;1283169;764366;0;No error;5;0104000020E61000000200000001010000000C06D7DCD1E06240E9A0A6F166E040C0010100000003113D848CE06240D07CCEDDAEE140C0
1283312-885490;;1283312;885490;0;No error;5;0104000020E610000002000000010100000075DA649E663F62401152B7B3AF2241C00101000000377980DD5F3F624020216F5E412341C0
1283977-1292560;;1283977;1292560;0;No error;5;0104000020E61000000200000001010000002874A8F0F1416240C9E2A36A602341C0010100000033BB93F455426240C8444AB3792341C0
1284665-1370345;;1284665;1370345;0;No error;5;0104000020E6100000020000000101000000B0253F3D51DC6240E4767984E4EF40C001010000002E3A596A3DDC62401E46521C51F040C0
1284708-1268208;;1284708;1268208;0;No error;5;0104000020E610000002000000010100000058DCC9F114F662401AA0D91AB67240C00101000000A9FE9CDD35F6624092DCABA0B37240C0
1285011-238437;;1285011;238437;0;No error;5;0104000020E61000000200000001010000003F879E39D0EE6240C4E28112B0A540C001010000001E4BC4002EF062409A0BB7D7DDA940C0
1285678-1116741;;1285678;1116741;0;No error;5;0104000020E6100000020000000101000000432CAC65FCD46240E72384A2D4EC40C001010000003312465879C96240E5AAC31BE31241C0
1288346-1274691;;1288346;1274691;0;No error;5;0104000020E6100000020000000101000000DB2A2DC8BB4162403C44EDC8A22441C001010000007688241FA0416240126E8D637F2341C0
1289083-1305828;804;1289083;1305828;100;Error;5;0104000020E6100000020000000101000000F5ABEFB255D8624097F26B3535C340C001010000003D354D8E71D862404EFDCDD5A0C340C0
1289576-1495837;;1289576;1495837;0;No error;5;0104000020E6100000020000000101000000A0FB7266BBEB6240F5279600A1A240C00101000000B54071B6EFEB6240830A58BCA2A040C0
1289870-1280312;680;1289870;1280312;70;Near error;5;0104000020E6100000020000000101000000864DAE739DE36240C89E98501CC73DC00101000000D6EDA29E74E362408C8752D6CAC73DC0
1290313-1452817;809;1290313;1452817;100;Error;5;0104000020E610000002000000010100000044EC5DCD0BC562408B3ED5D7A95841C00101000000B45B261EEBC462401D1950148D5841C0
1290359-1630710;;1290359;1630710;0;No error;5;0104000020E61000000200000001010000008ABECCC13DF76240EB81A0EDE2BB3DC00101000000A61EB3FD35F762405710B9CFE0BD3DC0
1290917-1284665;;1290917;1284665;0;No error;5;0104000020E610000002000000010100000048FB1F602DDC6240AE8D678643F040C00101000000B0253F3D51DC6240E4767984E4EF40C0
1291018-209384;;1291018;209384;0;No error;5;0104000020E6100000020000000101000000054C851D2BE262400561B8848DED40C00101000000C2B34EA61BE262401047B2A261ED40C0
1291426-1446313;;1291426;1446313;0;No error;5;0104000020E6100000020000000101000000935FF5366C44624030CC5367FF2241C00101000000FE7854A16644624081334289E02241C0
1291519-979322;808;1291519;979322;70;Near error;5;0104000020E6100000020000000101000000649703988DF76240136D7D4743BC3DC0010100000089DF5EE344F762409CE16135F1BD3DC0
1291885-287070;;1291885;287070;0;No error;5;0104000020E61000000200000001010000001F5BE03C664262401751C9EF232341C0010100000024F895BD5B4262409208E819562241C0
1292129-1284217;806;1292129;1284217;100;Error;5;0104000020E6100000020000000101000000D7F445E7A141624082D8E3CF011B41C0010100000089E1348EA2416240512FF834271B41C0
1292345-1280312;;1292345;1280312;0;No error;5;0104000020E61000000200000001010000000FD1E80EA2E36240C96658D647C73DC00101000000D6EDA29E74E362408C8752D6CAC73DC0
1292362-1280076;805;1292362;1280076;100;Error;5;0104000020E61000000200000001010000004833164D27F76240B5CAA72270B93DC001010000005994C8F43AF76240B6589B1084B93DC0
1292560-1293621;;1292560;1293621;0;No error;5;0104000020E610000002000000010100000033BB93F455426240C8444AB3792341C001010000000FA3D6EA21426240F98788F60C2341C0
1292901-1302478;810;1292901;1302478;100;Error;5;0104000020E610000002000000010100000044FD2E6CCD406240A2F77C83E50F41C001010000001DBA8F92CD40624057AE5C14E20F41C0
1293284-1297213;506;1293284;1297213;70;Near error;5;0104000020E610000002000000010100000076DC9502F74062408C14CAC2D72341C00101000000500EB0A0FA406240D647F13B972441C0
1293621-1292560;;1293621;1292560;0;No error;5;0104000020E61000000200000001010000000FA3D6EA21426240F98788F60C2341C0010100000033BB93F455426240C8444AB3792341C0
1293731-765084;811;1293731;765084;100;Error;5;0104000020E61000000200000001010000009F9E2DD626E562409C700A86CEDE3EC001010000001B7B9BA333E5624042FA3779DBDE3EC0
1294375-1327662;;1294375;1327662;0;No error;5;0104000020E61000000200000001010000008BC6DADF99E2624042CF66D5E7CA3DC001010000007EA76ED344E362409BF39DA921CD3DC0
1294869-1280432;;1294869;1280432;0;No error;5;0104000020E6100000020000000101000000550F3DCE19F76240BE2EC37FBABB3DC00101000000858DFC0B0EF76240335EA91DB4BD3DC0
1295652-1297715;;1295652;1297715;0;No error;5;0104000020E6100000020000000101000000BB59CD8470F562400492B06F278140C00101000000AABFB91A74F562404F7BA587FC8040C0
1295872-1630815;;1295872;1630815;0;No error;5;0104000020E610000002000000010100000054C0E2152DF76240CB924AC2CFBB3DC001010000006C2D82B520F76240A43FEA65CABD3DC0
1296050-1294495;506;1296050;1294495;100;Error;5;0104000020E61000000200000001010000008EC9E2FEE340624039F5DC9D102341C00101000000FBD060AEE0406240060830760C2341C0
1296277-1302899;;1296277;1302899;0;No error;5;0104000020E61000000200000001010000007B16DFABB1F762401844A4A65DC03DC00101000000D0AF52E68BF76240B082291433C03DC0
1296517-291347;648;1296517;291347;70;Near error;5;0104000020E6100000020000000101000000B874CC79C65D6240F428A61CDD0B42C001010000002E701EF3A65D6240A05FA5CC170C42C0
1297213-1301177;506;1297213;1301177;100;Error;5;0104000020E6100000020000000101000000500EB0A0FA406240D647F13B972441C0010100000090C657F1FC406240472D8320F62341C0
1297479-1116741;;1297479;1116741;0;No error;5;0104000020E61000000200000001010000007423D170EFD462409C2BEF4F4EE740C001010000003312465879C96240E5AAC31BE31241C0
1297715-1295652;;1297715;1295652;0;No error;5;0104000020E6100000020000000101000000AABFB91A74F562404F7BA587FC8040C00101000000BB59CD8470F562400492B06F278140C0
1298016-1274691;;1298016;1274691;0;No error;5;0104000020E6100000020000000101000000C8B1F50CA1416240AE444541952441C001010000007688241FA0416240126E8D637F2341C0
1298339-1837700;;1298339;1837700;0;No error;5;0104000020E6100000020000000101000000CA3BE2EBC66B6240541D7233DC183EC001010000009C4940F1086C6240A1ECD22B0A2E3EC0
1299071-1300488;506;1299071;1300488;100;Error;5;0104000020E6100000020000000101000000CBB09B63CA406240EE7D05C47F2441C00101000000D82C978DCE406240C8A71144272441C0
1299325-297981;;1299325;297981;0;No error;5;0104000020E61000000200000001010000007FF55DB602E56240CFAE319EF7ED40C0010100000082E49D4319E56240E736E15E99ED40C0
1300488-1299071;506;1300488;1299071;100;Error;5;0104000020E6100000020000000101000000D82C978DCE406240C8A71144272441C00101000000CBB09B63CA406240EE7D05C47F2441C0
1300758-1837700;;1300758;1837700;0;No error;5;0104000020E6100000020000000101000000FD3CFCEB0B6C624094B1EB2818193EC001010000009C4940F1086C6240A1ECD22B0A2E3EC0
1300805-291347;;1300805;291347;0;No error;5;0104000020E610000002000000010100000064CBF275D95D62405C9A1194910B42C001010000002E701EF3A65D6240A05FA5CC170C42C0
1301177-1297213;506;1301177;1297213;100;Error;5;0104000020E610000002000000010100000090C657F1FC406240472D8320F62341C00101000000500EB0A0FA406240D647F13B972441C0
1301731-1280312;680;1301731;1280312;70;Near error;5;0104000020E61000000200000001010000008A4C0A3D6CE362402590B70144C63DC00101000000D6EDA29E74E362408C8752D6CAC73DC0
1302324-1276113;;1302324;1276113;0;No error;5;0104000020E61000000200000001010000000027CA94854162409BCF1495681741C001010000007B02171ABE41624070D86C9B981641C0
1302478-1292901;810;1302478;1292901;100;Error;5;0104000020E61000000200000001010000001DBA8F92CD40624057AE5C14E20F41C0010100000044FD2E6CCD406240A2F77C83E50F41C0
1303333-1463424;;1303333;1463424;0;No error;5;0104000020E6100000020000000101000000BB3665B88B4262402892F9916C2041C0010100000083578110BF4262401553E9279C2141C0
1303556-1289474;806;1303556;1289474;100;Error;5;0104000020E6100000020000000101000000C67C8A2DCE4162407A9ADDA4B31A41C001010000008B4DD0CBCD41624082806BDDBC1A41C0
1303795-1621468;637;1303795;1621468;70;Near error;5;0104000020E61000000200000001010000004B81BBA24AE3624013F5DD08E6E540C00101000000648ADE4E47E3624001289023E7E540C0
1303922-1280312;680;1303922;1280312;70;Near error;5;0104000020E6100000020000000101000000A3409FC893E3624097265B13C1C63DC00101000000D6EDA29E74E362408C8752D6CAC73DC0
1304852-1280312;680;1304852;1280312;70;Near error;5;0104000020E6100000020000000101000000A76CA2E033E362408BA8893E1FC73DC00101000000D6EDA29E74E362408C8752D6CAC73DC0
1305828-1289083;804;1305828;1289083;100;Error;5;0104000020E61000000200000001010000003D354D8E71D862404EFDCDD5A0C340C00101000000F5ABEFB255D8624097F26B3535C340C0
1306008-1850563;;1306008;1850563;0;No error;5;0104000020E61000000200000001010000003AF361ACE5006340448655BC910D3DC0010100000041E378F4F502634065EE10B523173DC0
1306380-287070;;1306380;287070;0;No error;5;0104000020E610000002000000010100000059558A7886426240302F1BF8AC2241C0010100000024F895BD5B4262409208E819562241C0
1309064-1397529;;1309064;1397529;0;No error;5;0104000020E6100000020000000101000000D196CEE260F36240EA89F898599240C00101000000200C3CF7DEF26240277C009C289240C0
1309285-1265668;;1309285;1265668;0;No error;5;0104000020E6100000020000000101000000AD4ECE501CDB6240983B8E7AE35641C00101000000B37680CC33DB6240CA501553E95641C0
1326648-142802;601;1326648;142802;100;Error;5;0104000020E610000002000000010100000025A314BEC87062406DE690D4423941C001010000006144EC5DCD7062400C2F771CF53841C0
